Mouse ID	Left Ear Punch	Right Ear Punch	Body Weight (g)	Fasting Glucose	Donor	Donor Type	Cage ID	Diet	Diet Type	Food Weight Out (g)	Food Weight In (g)	Date	Notes	Additional Notes	
M2	1	0	22.7	NA	TFSCS023	Thai	1	TD.86489	LowFiber	34.9	197.1	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M3	0	1	20.2	365	TFSCS023	Thai	1	TD.86489	LowFiber	34.9	NA	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M4	1	1	22.9	362	TFSCS023	Thai	1	TD.86489	LowFiber	34.9	NA	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M5	2	0	22.8	221	TFSCS023	Thai	1	TD.86489	LowFiber	34.9	NA	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M6	0	0	23.7	277	IMP.263	US	2	TD.86489	LowFiber	162.2	NA	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M7	1	0	21.5	144	IMP.263	US	2	TD.86489	LowFiber	162.2	NA	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M8	0	1	21.4	NA	IMP.263	US	2	TD.86489	LowFiber	162.2	197.1	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M9	1	1	23.9	NA	IMP.263	US	2	TD.86489	LowFiber	162.2	197.1	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M10	0	2	22.9	382	IMP.263	US	2	TD.86489	LowFiber	162.2	NA	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
M1	0	0	23.2	324	TFSCS023	Cohoused	C1-2	TD.86489	LowFiber	6.5	NA	9/19/17	Cohoused	Weights are after fasting	
M2	1	0	24.2	188	TFSCS023	Cohoused	C1-2	TD.86489	LowFiber	6.5	NA	9/19/17	Cohoused	Weights are after fasting	
M8	0	1	21.8	319	IMP.263	Cohoused	C1-2	TD.86489	LowFiber	6.5	NA	9/19/17	Cohoused	Weights are after fasting	
M9	1	1	24.2	263	IMP.263	Cohoused	C1-2	TD.86489	LowFiber	6.5	NA	9/19/17	Cohoused	placeholder	placeholder
M11	1	0	14.5	183	TFSCS023	Thai	5	LabDiet 5061	HighFiber	NA	93.2	10/3/17	"Dropped on ground while gavaging, keep isolated. Measured food weight in was lost on 10/3, supplement with weight recorded on 10/5."		
M12	2	0	18.8	187	TFSCS023	Thai	3	LabDiet 5061	HighFiber	NA	266.1	10/3/17	"4, 7 weeks old"		
M13	2	1	13.8	129	TFSCS023	Thai	3	LabDiet 5061	HighFiber	NA	266.1	10/3/17	"4, 7 weeks old"		
M14	1	1	20.3	131	TFSCS023	Thai	3	LabDiet 5061	HighFiber	NA	266.1	10/3/17	"4, 7 weeks old"		
M15	0	0	15.6	128	TFSCS023	Thai	3	LabDiet 5061	HighFiber	NA	266.1	10/3/17	"4, 7 weeks old"		
M16	0	1	12.7	117	IMP.263	US	4	LabDiet 5061	HighFiber	NA	251.9	10/3/17	"4, 7 weeks old"		
M17	0	2	15.7	118	IMP.263	US	4	LabDiet 5061	HighFiber	NA	251.9	10/3/17	"4, 7 weeks old"		
M18	1	2	17.3	102	IMP.263	US	4	LabDiet 5061	HighFiber	NA	251.9	10/3/17	"4, 7 weeks old"		
M19	2	2	20	142	IMP.263	US	4	LabDiet 5061	HighFiber	NA	251.9	10/3/17	"4, 7 weeks old"		
M20	0	3	19.3	131	IMP.263	US	4	LabDiet 5061	HighFiber	NA	251.9	10/3/17	"4, 7 weeks old"		
M11	1	0	17.1	NA	TFSCS023	Thai	5	LabDiet 5061	HighFiber	44.8	168.9	10/17/17			
M12	2	0	20.6	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	43.2	286.6	10/17/17			
M13	2	1	15.9	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	43.2	286.6	10/17/17			
M14	1	1	21.6	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	43.2	286.6	10/17/17			
M15	0	0	18.5	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	43.2	286.6	10/17/17			
M16	0	1	11.7	NA	IMP.263	US	4	LabDiet 5061	HighFiber	3.2	294.8	10/17/17			
M17	0	2	15.1	NA	IMP.263	US	4	LabDiet 5061	HighFiber	3.2	294.8	10/17/17			
M18	1	2	17.2	NA	IMP.263	US	4	LabDiet 5061	HighFiber	3.2	294.8	10/17/17			
M19	2	2	19.5	NA	IMP.263	US	4	LabDiet 5061	HighFiber	3.2	294.8	10/17/17			
M20	0	3	18.9	NA	IMP.263	US	4	LabDiet 5061	HighFiber	3.2	294.8	10/17/17			
M11	1	0	19.8	NA	TFSCS023	Thai	5	LabDiet 5061	HighFiber	113.9	113.9	10/31/17			
M12	2	0	21.1	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	81.9	449.1	10/31/17	Additional feed added on 11/9/17 because looked low		
M13	2	1	17	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	81.9	449.1	10/31/17	Additional feed added on 11/9/17 because looked low		
M14	1	1	21.9	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	81.9	449.1	10/31/17	Additional feed added on 11/9/17 because looked low		
M15	0	0	19.8	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	81.9	449.1	10/31/17	Additional feed added on 11/9/17 because looked low		
M16	0	1	16.5	NA	IMP.263	US	4	LabDiet 5061	HighFiber	35	474.6	10/31/17	Additional feed added on 11/9/17 because looked low		
M17	0	2	18.1	NA	IMP.263	US	4	LabDiet 5061	HighFiber	35	474.6	10/31/17	Additional feed added on 11/9/17 because looked low		
M18	1	2	19.7	NA	IMP.263	US	4	LabDiet 5061	HighFiber	35	474.6	10/31/17	Additional feed added on 11/9/17 because looked low		
M19	2	2	23.3	NA	IMP.263	US	4	LabDiet 5061	HighFiber	35	474.6	10/31/17	Additional feed added on 11/9/17 because looked low		
M20	0	3	20.7	NA	IMP.263	US	4	LabDiet 5061	HighFiber	35	474.6	10/31/17	Additional feed added on 11/9/17 because looked low		
M11	1	0	23.2	NA	TFSCS023	Thai	5	LabDiet 5061	HighFiber	62.2	238.8	11/14/17			
M12	2	0	22.3	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	157.7	309.5	11/14/17	77.9g food added to Box 3 with cohoused mice only on 11/27/17		
M13	2	1	18.4	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	157.7	231.6	11/14/17			
M14	1	1	23.3	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	157.7	231.6	11/14/17			
M15	0	0	20.8	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	157.7	309.5	11/14/17	77.9g food added to Box 3 with cohoused mice only on 11/27/17		
M16	0	1	17.1	NA	IMP.263	US	4	LabDiet 5061	HighFiber	138.6	233.9	11/14/17			
M17	0	2	19.1	NA	IMP.263	US	4	LabDiet 5061	HighFiber	138.6	233.9	11/14/17			
M18	1	2	20.2	NA	IMP.263	US	4	LabDiet 5061	HighFiber	138.6	314.8	11/14/17	80.9g food added to Box 4 with cohoused mice only on 11/27/17		
M19	2	2	22.6	NA	IMP.263	US	4	LabDiet 5061	HighFiber	138.6	314.8	11/14/17	80.9g food added to Box 4 with cohoused mice only on 11/27/17		
M20	0	3	22.4	NA	IMP.263	US	4	LabDiet 5061	HighFiber	138.6	233.9	11/14/17			
M11	1	0	20.8	169	TFSCS023	Thai	5	LabDiet 5061	HighFiber	165.3	NA	11/28/17	lots of stuff in GI tract	20.8	
M12	2	0	22.4	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	96	369.9	11/28/17	222.6g feed added by Will on 12/6/17	22.4	
M13	2	1	18.7	143	TFSCS023	Thai	3	LabDiet 5061	HighFiber	135.6	NA	11/28/17	lots of stuff in GI tract	18.7	
M14	1	1	23.2	176	TFSCS023	Thai	3	LabDiet 5061	HighFiber	135.6	NA	11/28/17	food weight calculated since not measured	23.2	
M15	0	0	22.1	NA	TFSCS023	Thai	3	LabDiet 5061	HighFiber	96	369.9	11/28/17	222.6g feed added by Will on 12/6/17	22.1	
M16	0	1	17.8	113	IMP.263	US	4	LabDiet 5061	HighFiber	167.6	NA	11/28/17	food weight calculated since not measured	17.8	
M17	0	2	20.6	240	IMP.263	US	4	LabDiet 5061	HighFiber	167.6	NA	11/28/17	food weight calculated since not measured	20.6	
M18	1	2	22.2	NA	IMP.263	US	4	LabDiet 5061	HighFiber	66.3	369.9	11/28/17	222.6g feed added by Will on 12/6/17	22.2	
M19	2	2	25.2	NA	IMP.263	US	4	LabDiet 5061	HighFiber	66.3	369.9	11/28/17	222.6g feed added by Will on 12/6/17	25.2	
M20	0	3	22.7	157	IMP.263	US	4	LabDiet 5061	HighFiber	167.6	NA	11/28/17	food weight calculated since not measured	22.7	
M12	2	0	23.5	190	TFSCS023	Cohoused	C3-4	LabDiet 5061	HighFiber	149.6	NA	12/12/17	Cohouse	23.5	
M15	0	0	21.7	112	TFSCS023	Cohoused	C3-4	LabDiet 5061	HighFiber	149.6	NA	12/12/17	"Cohouse, NO fat, couldn't collect gut fat"	21.7	
M18	1	2	21.6	177	IMP.263	Cohoused	C3-4	LabDiet 5061	HighFiber	149.6	NA	12/12/17	"Cohouse, very fatty"	21.6	
M19	2	2	24.7	155	IMP.263	Cohoused	C3-4	LabDiet 5061	HighFiber	149.6	NA	12/12/17	"Cohouse, very very fatty!"	24.7	
M21	1	0	11.5	126	TFSCS026	Thai	6	TD.86489	LowFiber	NA	233.3	10/25/17	4 weeks old		
M22	2	0	16.6	128	TFSCS026	Thai	6	TD.86489	LowFiber	NA	233.3	10/25/17	6 weeks old		
M23	2	1	17.4	144	TFSCS026	Thai	6	TD.86489	LowFiber	NA	233.3	10/25/17	"6 weeks old, difficulty getting blood"		
M24	1	1	16.6	111	TFSCS026	Thai	6	TD.86489	LowFiber	NA	233.3	10/25/17	6 weeks old		
M25	0	0	16.8	102	TFSCS026	Thai	6	TD.86489	LowFiber	NA	233.3	10/25/17	6 weeks old		
M26	0	1	14.7	114	IMP.264	US	7	TD.86489	LowFiber	NA	221.4	10/25/17	6 weeks old		
M27	0	2	15.6	73	IMP.264	US	7	TD.86489	LowFiber	NA	221.4	10/25/17	6 weeks old		
M28	1	2	16.8	103	IMP.264	US	7	TD.86489	LowFiber	NA	221.4	10/25/17	6 weeks old		
M29	2	2	15.9	80	IMP.264	US	7	TD.86489	LowFiber	NA	221.4	10/25/17	6 weeks old		
M30	0	3	16.1	125	IMP.264	US	7	TD.86489	LowFiber	NA	221.4	10/25/17	6 weeks old		
M21	1	0	17.6	NA	TFSCS026	Thai	6	TD.86489	LowFiber	14.6	208	11/8/17			
M22	2	0	20.5	NA	TFSCS026	Thai	6	TD.86489	LowFiber	14.6	208	11/8/17			
M23	2	1	21.2	NA	TFSCS026	Thai	6	TD.86489	LowFiber	14.6	208	11/8/17			
M24	1	1	20.8	NA	TFSCS026	Thai	6	TD.86489	LowFiber	14.6	208	11/8/17			
M27	0	2	18.9	NA	IMP.264	US	7	TD.86489	LowFiber	7.8	209.6	11/8/17			
M28	1	2	19.4	NA	IMP.264	US	7	TD.86489	LowFiber	7.8	209.6	11/8/17			
M29	2	2	22.3	NA	IMP.264	US	7	TD.86489	LowFiber	7.8	209.6	11/8/17			
M30	0	3	23.5	NA	IMP.264	US	7	TD.86489	LowFiber	7.8	209.6	11/8/17			
M21	1	0	20.6	NA	TFSCS026	Thai	6	TD.86489	LowFiber	58.3	181.2	11/22/17			
M22	2	0	20.9	NA	TFSCS026	Thai	6	TD.86489	LowFiber	58.3	181.2	11/22/17			
M23	2	1	22	NA	TFSCS026	Thai	6	TD.86489	LowFiber	58.3	181.2	11/22/17			
M24	1	1	21.9	NA	TFSCS026	Thai	6	TD.86489	LowFiber	58.3	181.2	11/22/17			
M27	1	2	20.4	NA	IMP.264	US	7	TD.86489	LowFiber	76.3	198.6	11/22/17			
M29	2	2	20.7	NA	IMP.264	US	7	TD.86489	LowFiber	76.3	198.6	11/22/17			
M30	0	3	23.8	NA	IMP.264	US	7	TD.86489	LowFiber	76.3	198.6	11/22/17			
M21	1	0	21.2	NA	TFSCS026	Thai	6	TD.86489	LowFiber	7.6	255.5	12/6/17			
M22	2	0	21.5	NA	TFSCS026	Thai	6	TD.86489	LowFiber	7.6	255.5	12/6/17			
M23	2	1	22.3	NA	TFSCS026	Thai	6	TD.86489	LowFiber	7.6	255.5	12/6/17			
M24	1	1	22.4	NA	TFSCS026	Thai	6	TD.86489	LowFiber	7.6	255.5	12/6/17			
M27	1	2	20.1	NA	IMP.264	US	7	TD.86489	LowFiber	66.6	197.2	12/6/17			
M29	2	2	21.9	NA	IMP.264	US	7	TD.86489	LowFiber	66.6	197.2	12/6/17			
M30	0	3	24	NA	IMP.264	US	7	TD.86489	LowFiber	66.6	197.2	12/6/17			
M21	1	0	22.4	173	TFSCS026	Thai	6	TD.86489	LowFiber	83.8	NA	12/20/17		22.4	
M22	2	0	22	172	TFSCS026	Thai	6	TD.86489	LowFiber	83.8	NA	12/20/17	fat	22	
M23	2	1	23.7	182	TFSCS026	Thai	6	TD.86489	LowFiber	83.8	NA	12/20/17	enlarged spleen	23.7	
M24	1	1	23.6	98	TFSCS026	Thai	6	TD.86489	LowFiber	83.8	NA	12/20/17		23.6	
M27	1	2	21	249	IMP.264	US	7	TD.86489	LowFiber	67.5	NA	12/20/17	"barbered on stomach, little fatty"	21	
M29	2	2	23	228	IMP.264	US	7	TD.86489	LowFiber	67.5	NA	12/20/17	"barbered on head, very fatty gut"	23	
M30	0	3	24.8	155	IMP.264	US	7	TD.86489	LowFiber	67.5	NA	12/20/17	"mean mouse, very fatty gut"	24.8	
M31	0	0	19	187	IMP.264	US	8	LabDiet 5061	HighFiber	NA	503.6	1/16/18	281.6g of food added on 1/25/18		
M32	1	0	16.5	163	IMP.264	US	8	LabDiet 5061	HighFiber	NA	503.6	1/16/18	281.6g of food added on 1/25/18		
M33	0	1	16.8	131	IMP.264	US	8	LabDiet 5061	HighFiber	NA	503.6	1/16/18	281.6g of food added on 1/25/18		
M34	1	1	17.8	146	IMP.264	US	8	LabDiet 5061	HighFiber	NA	503.6	1/16/18	281.6g of food added on 1/25/18		
M31	0	0	21.4	NA	IMP.264	US	8	LabDiet 5061	HighFiber	262	323.1	1/30/18	99g food added on 2/12/18		
M32	1	0	18.7	NA	IMP.264	US	8	LabDiet 5061	HighFiber	262	323.1	1/30/18	99g food added on 2/12/18		
M33	0	1	20.1	NA	IMP.264	US	8	LabDiet 5061	HighFiber	262	323.1	1/30/18	99g food added on 2/12/18		
M34	1	1	19	NA	IMP.264	US	8	LabDiet 5061	HighFiber	262	323.1	1/30/18	99g food added on 2/12/18		
M31	0	0	22.2	NA	IMP.264	US	8	LabDiet 5061	HighFiber	110.3	250.8	2/13/18	"dropped on ground, separated into a different cage; 163.7g added on 2/16/18"		
M32	1	0	19.9	NA	IMP.264	US	8	LabDiet 5061	HighFiber	110.3	207.3	2/13/18	155.1 added on 2/16/18		
M33	0	1	20.6	NA	IMP.264	US	8	LabDiet 5061	HighFiber	110.3	207.3	2/13/18	155.1 added on 2/16/18		
M34	1	1	22.1	NA	IMP.264	US	8	LabDiet 5061	HighFiber	110.3	250.8	2/13/18	"dropped on table, also separated; 163.7g added on 2/16/18"		
M31	0	0	23.8	NA	IMP.264	US	9	LabDiet 5061	HighFiber	128.1	231.5	2/27/18			
M32	1	0	21.9	NA	IMP.264	US	8	LabDiet 5061	HighFiber	89.4	232.9	2/27/18			
M33	0	1	23.2	NA	IMP.264	US	8	LabDiet 5061	HighFiber	89.4	232.9	2/27/18			
M34	1	1	21.5	NA	IMP.264	US	9	LabDiet 5061	HighFiber	128.1	231.5	2/27/18			
M31	0	0	23.3	204	IMP.264	US	9	LabDiet 5061	HighFiber	110.2	NA	3/13/18	"large cecum, lots of content"		
M32	1	0	22.3	212	IMP.264	US	8	LabDiet 5061	HighFiber	114.8	NA	3/13/18			
M33	0	1	21.1	254	IMP.264	US	8	LabDiet 5061	HighFiber	114.8	NA	3/13/18			
M34	1	1	21.4	171	IMP.264	US	9	LabDiet 5061	HighFiber	110.2	NA	3/13/18			
M35	0	0	19.2	138	TFSCS026	Thai	10	LabDiet 5061	HighFiber	NA	223.9	2/13/18	gavage material not stored in glycerol		
M36	1	0	19.7	133	TFSCS026	Thai	10	LabDiet 5061	HighFiber	NA	223.9	2/13/18	gavage material not stored in glycerol		
M37	0	1	17.4	122	TFSCS026	Thai	10	LabDiet 5061	HighFiber	NA	223.9	2/13/18	gavage material not stored in glycerol		
M38	1	1	18.9	153	TFSCS026	Thai	10	LabDiet 5061	HighFiber	NA	223.9	2/13/18	gavage material not stored in glycerol		
M35	0	0	19.4	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	101.4	431.4	2/27/18			
M36	1	0	19.9	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	101.4	431.4	2/27/18			
M37	0	1	18	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	101.4	431.4	2/27/18			
M38	1	1	19.6	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	101.4	431.4	2/27/18			
M35	0	0	20.8	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	90.2	313	3/13/18			
M36	1	0	21	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	90.2	313	3/13/18			
M37	0	1	19.2	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	90.2	313	3/13/18			
M38	1	1	20.7	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	90.2	313	3/13/18			
M35	0	0	22.4	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	63	356	3/27/18			
M36	1	0	21.7	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	63	356	3/27/18			
M37	0	1	21	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	63	356	3/27/18			
M38	1	1	21.7	NA	TFSCS026	Thai	10	LabDiet 5061	HighFiber	63	356	3/27/18			
M35	0	0	23.4	187	TFSCS026	Thai	10	LabDiet 5061	HighFiber	111.9	NA	4/10/18	"All mice in this cage had enlarged spleens, white cecums, lumpy fat in the gut, and pale livers"		
M36	1	0	22.3	160	TFSCS026	Thai	10	LabDiet 5061	HighFiber	111.9	NA	4/10/18	"All mice in this cage had enlarged spleens, white cecums, lumpy fat in the gut, and pale livers"		
M37	0	1	20.8	231	TFSCS026	Thai	10	LabDiet 5061	HighFiber	111.9	NA	4/10/18	"All mice in this cage had enlarged spleens, white cecums, lumpy fat in the gut, and pale livers"		
M38	1	1	22.8	114	TFSCS026	Thai	10	LabDiet 5061	HighFiber	111.9	NA	4/10/18	"All mice in this cage had enlarged spleens, white cecums, lumpy fat in the gut, and pale livers"		
