#Taxonomy	M34.1.30.18	M5.9.5.17	M20.11.27.17	M2.8.22.17	M14.11.27.17	M2.7.25.17	M3.8.22.17	M1.8.8.17	M1.7.25.17	M23.11.8.17	M19.11.28.17	M9.7.25.17	M8.8.8.17	M19.12.11.17	M4.8.22.17	M11.11.27.17	M24.11.8.17	M33.2.27.18	M9.8.8.17	M24.12.19.17	M6.8.8.17	M4.9.5.17	M12.11.28.17	M30.11.8.17	M20.10.31.17	M6.9.5.17	M2.9.5.17	M31.3.12.18	M29.11.22.17	M15.10.31.17	M27.11.8.17	M27.12.6.17	M35.3.27.18	M15.12.11.17	M30.12.19.17	M2.9.19.17	M5.7.11.17	M22.12.6.17	M4.7.25.17	M2.8.8.17	M8.8.22.17	M29.12.6.17	M18.11.28.17	M38.3.13.18	M8.7.25.17	M36.3.13.18	M1.8.22.17	M38.3.27.18	M24.12.6.17	M9.9.19.17	M23.12.19.17	M34.3.12.18	M22.12.19.17	M17.11.27.17	M27.12.19.17	M30.11.22.17	M8.9.19.17	M32.2.13.18	M29.11.8.17	M7.8.8.17	M3.8.8.17	M21.11.8.17	M10.7.11.17	M1.7.11.17	M9.7.11.17	M10.8.22.17	M32.3.12.18	M3.7.11.17	M31.1.30.18	M9.9.5.17	M33.1.30.18	M31.2.13.18	M33.2.13.18	M10.9.5.17	M3.9.5.17	M35.4.9.18	M10.7.25.17	M19.11.14.17	M32.2.27.18	M33.3.12.18	M29.12.19.17	M12.12.11.17	M22.11.8.17	M18.12.11.17	CS.283.S145.L001.001	M37.3.27.18	M31.2.27.18	M5.8.22.17	TFS.023.S170.L001.001	M22.11.22.17	M34.2.13.18	M16.11.27.17	M10.8.8.17	M7.7.11.17	M12.11.14.17	M18.10.31.17	M35.3.13.18	TFS.026.S116.L001.001	M8.9.5.17	M16.10.31.17	M30.12.6.17	M6.8.22.17	M12.10.31.17	M8.7.11.17	M1.9.5.17	M17.10.31.17	M13.11.14.17	M17.11.14.17	M7.8.22.17	M13.10.31.17	M21.12.6.17	M23.12.6.17	M38.2.27.18	M9.8.22.17	M21.11.22.17	M37.4.9.18	CS.224.S144.L001.001	M16.11.14.17	M2.7.11.17	M1.9.19.17	M7.7.25.17	M27.11.22.17	M34.2.27.18	M15.11.14.17	M23.11.22.17	M38.4.9.18	M21.12.19.17	M35.2.27.18	M24.11.22.17	M37.3.13.18	M32.1.30.18	M11.10.31.17	M19.10.31.17	M7.9.5.17	M18.11.14.17	M6.7.11.17	M3.7.25.17	M13.11.27.17	M15.11.28.17	M14.11.14.17	M11.11.14.17	M4.8.8.17	M5.7.25.17	M14.10.31.17	M36.4.9.18	M37.2.27.18	M20.11.14.17	M4.7.11.17	M36.2.27.18	M36.3.27.18	M5.8.8.17
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55131357476944e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03263747933273e-05	0	0	0	0	0	0	0	0	1.60572924193522e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37478923745518e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75656787384718e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51400454201363e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06527495866547e-05	0	0	0	0	0	0	0	0	0.000112401046935466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82055621368534e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37478923745518e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces georgiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55131357476944e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40948745177638e-05	0	0	0	0	0	0	0	0	3.21145848387045e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii	0	0	0	0	0	5.09642434867697e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23783735398111e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19054483504243e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000376379498071055	0	0	0	0	0	0	0	0	3.21145848387045e-05	0	0	0	0	0	0	2.47828403613338e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22202301171474e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.74957847491035e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55131357476944e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188189749035528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010584250635055	0	0	0	0	0	0	0	0	0	3.48134867447649e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4991569498207e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42231348391513e-05	0	0	0	2.27100681302044e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001478633742422	0	0	0	0	0	0	0	0	8.02864620967612e-05	0	0	0	0	0	0	6.19571009033345e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000348134867447649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.12436771236553e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10262714953887e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107536999448873	0	0	0	0	0.000118028917084686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus	0	1.25656555502501e-05	0	0	0	0.000468871040078281	0	1.94172872108038e-05	0.000145227941856013	0	0	2.55495277595619e-05	3.76335992774349e-05	0	0	0	0	0	0	0	0	2.51588150198126e-05	0	0	0	2.81131836774856e-05	0	0	0	0	0	0	0	0	0	2.23783735398111e-05	0	0	1.5042796756773e-05	0	0	0	0	0	0	0	9.68040823664449e-05	0	0	0.000806683058880107	0	0	0	0	0	0	0	0	0	3.70260663507109e-05	0	0	0.000458670510762376	2.53671900763552e-05	0	0	0	0	0	9.08402725208176e-05	0	0	0	6.35622846827606e-05	0	0	1.15806417991685e-05	0	0	0	0	0	0	0	0.000281083106905275	0	0	0	0.00290349898511957	0	0	0	0	0.000354086751254057	0	0	0	0.000594119819516033	0	0	0	0	0	0	0.00016108846234867	0	0	0	0.00010584250635055	0	0	0	0	0	0	0	0.00016923337282112	0	0.000469982071054326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00220855399083331	0	0	0	0	0	0	0	0	0	0	0	0.000381133873272987	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens	0	0	0	8.72948570858483e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9838523184881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0047912673943838	0.000301575733206001	0	0.000274355265126952	6.99251800573386e-05	0.00503526725649284	5.18557890506501e-05	0.00122328909428064	0.00117502607501683	0	0	0.00878052104003611	0.000288524261127001	9.83525940496681e-05	0	0.000728018796121645	1.95034423575761e-05	0.00576541013621431	0.000344801164661712	0	0.000126606317655251	0.000226429335178313	1.66613905596561e-05	0.000162678576710343	0	0.000210848877581142	0.00117370892018779	0.00272059296073349	0.00012396694214876	0	0.000257919294707965	0	0	0	0.000214353656739413	0.00373718838114846	0.00121140800221515	0	0.00015042796756773	0.000658544616397761	6.97710115401253e-05	0.000139006658418938	0	0.000217822740694128	0.00632212128652099	0.000337402004564851	0.00553166184951114	0	0	0.0056390248442869	9.43440728336242e-06	0.00499437415325266	0	0	6.03700685200278e-05	0.000207547822477429	0.000598062278218572	0.00998979914875655	0.000436970173664432	0.000518364928909953	0	0	0.000458670510762376	0.00253671900763552	0	2.28154232261008e-05	0.00334496105509629	0.000344967532467532	0.0040877219155602	0.000174110522331567	0.00686340720265113	0.00605371026796785	0.0128181606917893	0.000165261940175178	3.30305532617671e-05	0	0.00251299927041957	0	0.00329824762669573	0.00763941940412529	0.000100598561440571	0	1.84675617278251e-05	0.000260320331017852	0.00173334582591586	0.00842198038951659	0.00646613318090883	0.000120586532896006	0.0342639764493971	0	0.00428374355623321	0	7.65427184911899e-05	0.0066096193567424	0	0	0.00493053974037805	0.0143231048380622	0.000136318355790909	0	7.47477264233213e-05	0	4.50673757267114e-05	0.0036944583125312	0.00358112043221274	0	4.79346171821635e-05	0	0.00433954276037257	3.64710602137204e-05	0	0.000101770812131081	0	8.48704311417902e-05	0	0	0.00888475207310882	0	0.00114884506257724	0.000236322816967978	0.000127779197546639	0.000174912543728136	0.00673228712043829	9.7524820066707e-06	2.6474637297469e-05	0	0	0	0	0.000727218482537433	0.00275748563508792	0.000338834159503043	0	4.33745391455216e-05	0	0.0178584150656629	0	0	9.90654822837896e-05	0	0.000193329127576874	0	0.00178592003687061	0	0	0	0	0.00476417341591234	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis	0	0	0	0.000124706938694069	0	0	0	0	0.00017163302219347	0	0	0	2.50890661849566e-05	0	0	0	0	0	0	0	0	0.000289326372727845	0	0	0	0	3.41856967044988e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.4062652572298e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000468482117937881	0	0	0	0	0	0.000671624676473479	0.00116689074351234	0.000536169071980698	0	0	0	0	6.0560181680545e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68471844842125e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010584250635055	0	0	0	0	0	0	0	0.000141027810684267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76103237700196e-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	0	0.000125656555502501	0	0.00455180326233352	0	0	0.000350026576091888	0	0	0	0	0.00819288190156619	0.00074012745245622	0	0.00099604846347278	0	0	0	0.0099226112941537	0	0.00237386845603596	0	3.33227811193122e-05	0	0	0.0111047075526068	0	0	0	1.4951258895999e-05	0	0	0	0	0	0	0.00373805897826388	0	1.5042796756773e-05	0	0	0	0	0	0.00380554873557574	0	0.000968040823664449	0	0	6.98091108646246e-05	0	0	0	0	0	0	0	0	0	0.00962677725118483	0	0	0	0.000659546941985236	0.000625530583977481	0	0	0	0	0.00482967448902347	0	0	0	0.0030001398370263	1.65152766308836e-05	0	0.00267512825560793	0	0	0	0	0	0	0	0	0	0	0.00220673355199691	6.72106246555456e-05	0	0	4.52878039943843e-05	0.00045925631094714	0	0	0	0	0	0.00221255177476013	0	0	0	0	0	2.47828403613338e-05	0	8.38855800687862e-05	0	0	0	0	0	0	2.82901437139301e-05	0	0	0	1.22491976775521e-05	0	5.90807042419946e-05	0	0	0	2.92574460200121e-05	0	0	0	0	0	0	0	0	0	0.00633268271524615	0	0	0	0	0	0.000173256176582695	0	0	5.76103237700196e-05	1.32178970325821e-05	0	0	0	0	0	0	0
