
	Total CaloriesEstimate	Std. Error	t value	Pr(>|t|)
map00$Age:map00$EthnicityKaren	0.00157453869014708	0.00456909544798968	0.34460621540306	0.730769575581849
map00$BMI:map00$EthnicityKaren	0.0188051310100665	0.0124365140829495	1.51209019542288	0.132163710621437
	Total Fat (% Calories Eaten )Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	2.13214867135317	0.332602879355593	6.41049372598378	1.10816091960488e-09
map00$Years.in.US	0.0101825251232819	0.0129031148264215	0.789152484517249	0.431001380877835
map00$Age	-0.00939147967486968	0.00951887725155564	-0.986616323194509	0.325078938227288
map00$BMI	-0.0298200708349192	0.0134642447025831	-2.21476001763383	0.0279589172732746
map00$EthnicityKaren	-0.423140185169885	0.24869789976646	-1.70142243085782	0.0904909413582388
map00$Years.in.US:map00$Age	-0.000227916236101044	0.000169422394428559	-1.34525448580618	0.180138057419085
map00$Years.in.US:map00$BMI	8.07086735847376e-05	0.00043558551195703	0.185287782465775	0.853199930063628
map00$Years.in.US:map00$EthnicityKaren	-0.00484788796422654	0.00894158755641244	-0.542173068668313	0.588331267604353
map00$Age:map00$BMI	0.000342250035612712	0.000348993333316403	0.980677860979146	0.327992172450542
map00$Age:map00$EthnicityKaren	0.0012170594736549	0.00369796764480874	0.329115771297627	0.742428785346178
map00$BMI:map00$EthnicityKaren	0.00909693798982467	0.0100654116808153	0.903782008952842	0.367249478123125
	% of Calories from Saturated FatEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	1.51528806787473	0.396780769068938	3.8189554182034	0.000181078824540101
map00$Years.in.US	0.0147897333182686	0.0153928547886645	0.960818088738156	0.337858394923079
map00$Age	-0.00662958168069781	0.0113556065535653	-0.583815725688059	0.560033114288419
map00$BMI	-0.0238382931903401	0.016062258325526	-1.48411840397663	0.139425885852385
map00$EthnicityKaren	-0.547486270283467	0.296685777724931	-1.84534046249788	0.0665361626174765
map00$Years.in.US:map00$Age	-0.000298352756500803	0.000202113547811456	-1.47616406585038	0.141546580099609
map00$Years.in.US:map00$BMI	3.53101856741451e-05	0.000519634570706224	0.0679519563645579	0.945894961103994
map00$Years.in.US:map00$EthnicityKaren	-0.00714426544226851	0.0106669250555029	-0.669758661010083	0.503820523518835
map00$Age:map00$BMI	0.000197882159092496	0.000416333867768983	0.475296809632353	0.635118518368815
map00$Age:map00$EthnicityKaren	0.00226957790169108	0.00441151456337982	0.514466827454441	0.607520420741373
map00$BMI:map00$EthnicityKaren	0.0123698351944065	0.0120075983570772	1.0301673012835	0.304234215769334
	% of Calories from ProteinEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.556153211794802	0.249703579262557	2.22725366387328	0.027097975599551
map00$Years.in.US	0.0100208012096832	0.00968708978718299	1.03444908944085	0.302234231305771
map00$Age	0.0124957980209033	0.00714635340764198	1.74855584493497	0.0819744033314213
map00$BMI	0.0310640803853679	0.0101083613612	3.07310742813416	0.00242818980960535
map00$EthnicityKaren	0.215329374519539	0.186711419477437	1.15327372649298	0.250239230965963
map00$Years.in.US:map00$Age	-0.000100862047268279	0.000127194864873116	-0.792972635875627	0.428777674048023
map00$Years.in.US:map00$BMI	-0.000216326115508557	0.000327018399904766	-0.66151053143051	0.50908219088029
map00$Years.in.US:map00$EthnicityKaren	0.00830831349423963	0.00671294975392757	1.2376546523946	0.217363425054301
map00$Age:map00$BMI	-0.000481769784638093	0.000262008809535013	-1.83875414530179	0.0675041060647114
map00$Age:map00$EthnicityKaren	-0.00252022117411036	0.00277627108549066	-0.907772006588814	0.365142594976807
map00$BMI:map00$EthnicityKaren	-0.00894658603385305	0.00755666736355472	-1.18393275810999	0.237910994894244
