Blinded.Mouse.Letter	Fecal.Pellet.Number	Fecal.Pellet.Section	Initials	Measurement.Number	Measurement	Mouse.ID	Reembedded
AA	2	1	PV	4	15.434	M13	Yes
AA	2	1	PV	5	19.501	M13	Yes
AA	2	2	PV	1	18.686	M13	Yes
AA	2	2	PV	2	22.104	M13	Yes
AA	2	2	PV	3	19.405	M13	Yes
AA	2	2	PV	4	13.658	M13	Yes
AA	2	2	PV	5	16.124	M13	Yes
AA	2	1	MA	4	34.552	M13	Yes
AA	2	1	MA	5	52.219	M13	Yes
AA	2	2	MA	1	15.001	M13	Yes
AA	2	2	MA	2	19.626	M13	Yes
AA	2	2	MA	3	33.788	M13	Yes
AA	2	2	MA	4	22.066	M13	Yes
AA	2	2	MA	5	21.508	M13	Yes
AA	2	2	NS	2	18.323	M13	Yes
AA	2	2	NS	3	16.216	M13	Yes
AA	2	2	NS	4	34.398	M13	Yes
AA	2	2	NS	5	14.886	M13	Yes
AA	1	7	MA	5	52.227	M13	Yes
AA	1	7	NS	4	19.62	M13	Yes
AA	1	7	NS	5	14.657	M13	Yes
AA	2	1	NS	1	18.329	M13	Yes
AA	2	1	NS	2	8.569	M13	Yes
AA	2	1	NS	3	17.812	M13	Yes
AA	2	1	NS	4	5.604	M13	Yes
AA	2	1	NS	5	25.1	M13	Yes
AA	2	2	NS	1	17.701	M13	Yes
AA	1	7	MA	1	18.446	M13	Yes
AA	1	7	MA	2	20.259	M13	Yes
AA	1	7	MA	3	46.105	M13	Yes
AA	1	7	MA	4	25.419	M13	Yes
AA	1	2	MA	5	20.169	M13	Yes
AA	2	1	MA	1	21.746	M13	Yes
AA	2	1	MA	2	22.788	M13	Yes
AA	2	1	MA	3	35.33	M13	Yes
AA	1	2	MA	4	50.312	M13	Yes
AB	2	3	PV	2	74.736	M36	No
AB	3	6	PV	5	224.01	M36	No
AB	3	3	MA	4	139.176	M36	No
AB	3	6	PV	4	117.514	M36	No
AB	1	5	PV	3	25.077	M36	No
AB	1	5	PV	4	25.494	M36	No
AB	1	5	PV	5	31.985	M36	No
AB	2	3	PV	1	103.303	M36	No
AB	3	3	PV	5	176.677	M36	No
AB	3	6	PV	1	109.571	M36	No
AB	3	6	PV	2	90.656	M36	No
AB	3	6	PV	3	117.514	M36	No
AB	2	4	NS	3	40.844	M36	No
AB	2	4	NS	4	36.973	M36	No
AB	2	4	NS	5	74.507	M36	No
AB	3	3	NS	1	113.431	M36	No
AB	3	3	NS	2	88.794	M36	No
AB	3	3	NS	3	145.325	M36	No
AB	3	3	NS	4	191.166	M36	No
AB	3	3	NS	5	135.619	M36	No
AB	3	6	NS	1	239.597	M36	No
AB	3	6	NS	2	75.502	M36	No
AB	3	6	NS	3	215.1	M36	No
AB	2	3	PV	3	101.649	M36	No
AB	2	3	PV	4	130.904	M36	No
AB	2	3	PV	5	100.267	M36	No
AB	2	4	PV	1	101.18	M36	No
AB	2	4	PV	2	78.26	M36	No
AB	2	4	PV	3	119.846	M36	No
AB	2	4	PV	4	148.898	M36	No
AB	2	4	PV	5	157.98	M36	No
AB	3	3	PV	1	61.757	M36	No
AB	3	3	PV	2	117.76	M36	No
AB	3	3	PV	3	107.2	M36	No
AB	3	3	PV	4	55.291	M36	No
AB	1	4	NS	1	21.401	M36	No
AB	1	4	NS	2	50.777	M36	No
AB	1	4	NS	3	12.293	M36	No
AB	1	4	NS	4	24.042	M36	No
AB	1	4	NS	5	14.578	M36	No
AB	1	5	NS	1	12.714	M36	No
AB	1	5	NS	2	41.575	M36	No
AB	3	3	MA	5	202.466	M36	No
AB	3	6	MA	1	163.055	M36	No
AB	3	6	MA	2	89.755	M36	No
AB	3	6	MA	3	243.698	M36	No
AB	3	6	MA	4	160.37	M36	No
AB	3	6	MA	5	156.227	M36	No
AB	2	3	NS	4	99.215	M36	No
AB	2	3	NS	5	33.84	M36	No
AB	2	4	NS	1	23.938	M36	No
AB	2	4	NS	2	27.417	M36	No
AB	1	4	PV	1	54.424	M36	No
AB	1	4	PV	2	19.808	M36	No
AB	1	4	PV	3	52.217	M36	No
AB	1	4	PV	4	28.037	M36	No
AB	1	4	PV	5	43.523	M36	No
AB	1	5	PV	1	51.124	M36	No
AB	1	5	PV	2	42.11	M36	No
AB	1	4	MA	1	64.428	M36	No
AB	1	4	MA	2	265.658	M36	No
AB	1	4	MA	3	395.59	M36	No
AB	1	4	MA	4	234.733	M36	No
AB	3	6	NS	4	331.565	M36	No
AB	3	6	NS	5	69.413	M36	No
AB	1	5	MA	2	271.589	M36	No
AB	1	5	MA	3	294.105	M36	No
AB	1	5	MA	4	202.466	M36	No
AB	1	5	MA	5	37.54	M36	No
AB	2	3	MA	1	78.336	M36	No
AB	2	3	MA	2	322.357	M36	No
AB	2	3	MA	3	256.876	M36	No
AB	2	3	MA	4	152.409	M36	No
AB	2	3	MA	5	124.704	M36	No
AB	2	4	MA	1	212.005	M36	No
AB	2	4	MA	2	192.46	M36	No
AB	2	4	MA	3	228.436	M36	No
AB	2	4	MA	4	102.515	M36	No
AB	2	4	MA	5	181.882	M36	No
AB	3	3	MA	1	137.097	M36	No
AB	3	3	MA	2	179.003	M36	No
AB	3	3	MA	3	60.02	M36	No
AB	1	5	NS	3	6.629	M36	No
AB	1	5	NS	4	23.681	M36	No
AB	1	5	NS	5	27.566	M36	No
AB	2	3	NS	1	17.754	M36	No
AB	2	3	NS	2	20.728	M36	No
AB	2	3	NS	3	37.079	M36	No
AB	1	4	MA	5	35.293	M36	No
AB	1	5	MA	1	69.933	M36	No
AC	1	5	PV	3	33.361	M10	No
AC	1	5	PV	4	28.61	M10	No
AC	2	2	PV	2	26.911	M10	No
AC	2	2	PV	3	17.063	M10	No
AC	2	2	PV	4	25.367	M10	No
AC	2	2	PV	5	29.17	M10	No
AC	2	4	PV	1	25.549	M10	No
AC	2	4	PV	2	32.925	M10	No
AC	2	4	PV	3	26.829	M10	No
AC	2	4	PV	4	23.455	M10	No
AC	2	4	PV	5	23.697	M10	No
AC	2	2	MA	4	23.791	M10	No
AC	2	2	MA	5	29.23	M10	No
AC	1	5	PV	5	22.788	M10	No
AC	2	2	PV	1	25.373	M10	No
AC	1	4	NS	1	19.578	M10	No
AC	1	4	NS	2	27.024	M10	No
AC	1	4	NS	3	31.013	M10	No
AC	1	4	NS	4	36.572	M10	No
AC	1	4	NS	5	40.466	M10	No
AC	1	5	NS	1	28.126	M10	No
AC	1	5	NS	2	23.353	M10	No
AC	1	5	NS	3	20.29	M10	No
AC	1	5	NS	4	36.208	M10	No
AC	1	5	NS	5	35.072	M10	No
AC	2	2	NS	1	25.925	M10	No
AC	2	2	NS	2	33.117	M10	No
AC	2	2	NS	3	31.094	M10	No
AC	2	2	NS	4	38.229	M10	No
AC	2	2	NS	5	29.185	M10	No
AC	2	4	NS	1	27.055	M10	No
AC	2	4	NS	2	47.366	M10	No
AC	1	4	PV	1	26.091	M10	No
AC	1	4	PV	2	36.145	M10	No
AC	1	4	PV	3	28.822	M10	No
AC	1	4	PV	4	25.353	M10	No
AC	1	4	PV	5	20.25	M10	No
AC	1	5	PV	1	31.345	M10	No
AC	1	5	PV	2	26.592	M10	No
AC	1	4	MA	1	39.601	M10	No
AC	1	4	MA	2	28.607	M10	No
AC	1	4	MA	3	43.54	M10	No
AC	1	4	MA	4	29.608	M10	No
AC	1	4	MA	5	39.071	M10	No
AC	1	5	MA	1	32.016	M10	No
AC	1	5	MA	2	32.927	M10	No
AC	1	5	MA	3	35.368	M10	No
AC	1	5	MA	4	36.177	M10	No
AC	1	5	MA	5	25.667	M10	No
AC	2	2	MA	1	30.015	M10	No
AC	2	2	MA	2	33.29	M10	No
AC	2	2	MA	3	9.675	M10	No
AC	2	4	MA	3	12.688	M10	No
AC	2	4	MA	4	23.885	M10	No
AC	2	4	MA	1	34.315	M10	No
AC	2	4	MA	2	35.74	M10	No
AC	2	4	NS	3	26.666	M10	No
AC	2	4	NS	4	35.893	M10	No
AC	2	4	MA	5	38.559	M10	No
AC	2	4	NS	5	44.502	M10	No
AD	1	5	PV	2	51.105	M16	Yes
AD	1	3	PV	1	62.005	M16	Yes
AD	1	3	PV	2	60.811	M16	Yes
AD	2	2	PV	1	40.714	M16	Yes
AD	2	2	PV	2	23.327	M16	Yes
AD	2	2	PV	3	21.108	M16	Yes
AD	2	2	PV	4	16.562	M16	Yes
AD	2	2	PV	5	53.571	M16	Yes
AD	2	4	PV	1	30.007	M16	Yes
AD	2	4	PV	2	13.419	M16	Yes
AD	2	4	PV	3	33.147	M16	Yes
AD	2	4	PV	4	19.11	M16	Yes
AD	2	4	PV	5	15.639	M16	Yes
AD	1	5	PV	3	66.834	M16	Yes
AD	1	5	PV	4	70.251	M16	Yes
AD	1	5	PV	5	65.96	M16	Yes
AD	3	2	PV	4	47.308	M16	Yes
AD	3	2	PV	5	43.426	M16	Yes
AD	3	3	PV	1	34.636	M16	Yes
AD	3	3	PV	2	36.083	M16	Yes
AD	3	3	PV	3	49.844	M16	Yes
AD	3	3	PV	4	48.081	M16	Yes
AD	3	3	PV	5	38.367	M16	Yes
AD	4	3	PV	1	20.346	M16	Yes
AD	4	3	PV	2	28.073	M16	Yes
AD	4	3	PV	3	12.715	M16	Yes
AD	4	3	PV	4	23.822	M16	Yes
AD	4	3	PV	5	24.445	M16	Yes
AD	4	8	PV	1	21.563	M16	Yes
AD	4	8	PV	2	20.151	M16	Yes
AD	4	8	PV	3	13.813	M16	Yes
AD	4	8	PV	4	21.074	M16	Yes
AD	4	8	PV	5	23.076	M16	Yes
AD	4	3	MA	5	47.995	M16	Yes
AD	4	8	MA	1	31.814	M16	Yes
AD	4	8	MA	2	33.361	M16	Yes
AD	4	8	MA	3	53.538	M16	Yes
AD	4	8	MA	4	100.554	M16	Yes
AD	4	8	MA	5	30.816	M16	Yes
AD	3	2	NS	4	65.221	M16	Yes
AD	3	2	NS	5	30.526	M16	Yes
AD	3	3	NS	1	16.682	M16	Yes
AD	3	3	NS	2	21.154	M16	Yes
AD	3	3	NS	3	42.774	M16	Yes
AD	3	3	NS	4	41.662	M16	Yes
AD	3	3	NS	5	28.467	M16	Yes
AD	4	3	NS	1	19.11	M16	Yes
AD	4	3	NS	2	13.061	M16	Yes
AD	4	3	NS	3	13.513	M16	Yes
AD	4	3	NS	4	13.513	M16	Yes
AD	4	3	NS	5	16.162	M16	Yes
AD	4	8	NS	1	13.098	M16	Yes
AD	4	8	NS	2	13.458	M16	Yes
AD	3	2	PV	1	30.66	M16	Yes
AD	3	2	PV	2	63.274	M16	Yes
AD	3	2	PV	3	55.075	M16	Yes
AD	1	3	NS	1	57.207	M16	Yes
AD	1	3	NS	2	43.763	M16	Yes
AD	1	3	NS	3	23.938	M16	Yes
AD	1	3	NS	4	27.712	M16	Yes
AD	1	3	NS	5	42.447	M16	Yes
AD	1	5	NS	1	61.627	M16	Yes
AD	1	5	NS	2	108.103	M16	Yes
AD	1	5	NS	3	39.991	M16	Yes
AD	1	5	NS	4	71.771	M16	Yes
AD	1	5	NS	5	51.22	M16	Yes
AD	2	2	NS	1	8.041	M16	Yes
AD	2	2	NS	2	42.673	M16	Yes
AD	2	2	NS	3	13.436	M16	Yes
AD	2	2	NS	4	43.843	M16	Yes
AD	2	2	NS	5	12.628	M16	Yes
AD	2	4	NS	1	9.217	M16	Yes
AD	2	4	NS	2	62.734	M16	Yes
AD	2	4	NS	3	16.795	M16	Yes
AD	2	4	NS	4	32.678	M16	Yes
AD	2	4	NS	5	11.948	M16	Yes
AD	3	2	NS	1	47.746	M16	Yes
AD	3	2	NS	2	28.619	M16	Yes
AD	3	2	NS	3	40.123	M16	Yes
AD	1	5	PV	1	52.171	M16	Yes
AD	1	3	MA	1	86.575	M16	Yes
AD	1	3	MA	2	60.022	M16	Yes
AD	1	3	MA	3	57.307	M16	Yes
AD	1	3	MA	4	53.593	M16	Yes
AD	1	3	MA	5	93.732	M16	Yes
AD	1	5	MA	1	85.447	M16	Yes
AD	1	5	MA	2	78.715	M16	Yes
AD	1	5	MA	3	81.049	M16	Yes
AD	1	5	MA	4	115.878	M16	Yes
AD	1	5	MA	5	105.405	M16	Yes
AD	2	2	MA	1	74.021	M16	Yes
AD	2	2	MA	2	39.255	M16	Yes
AD	2	2	MA	3	36.761	M16	Yes
AD	4	8	NS	3	7.238	M16	Yes
AD	4	8	NS	4	14.836	M16	Yes
AD	4	8	NS	5	13.988	M16	Yes
AD	2	4	MA	2	51.917	M16	Yes
AD	2	4	MA	3	41.192	M16	Yes
AD	2	4	MA	4	26.843	M16	Yes
AD	2	4	MA	5	72.684	M16	Yes
AD	3	2	MA	1	129.732	M16	Yes
AD	3	2	MA	2	79.856	M16	Yes
AD	3	2	MA	3	81.118	M16	Yes
AD	3	2	MA	4	54.379	M16	Yes
AD	3	2	MA	5	63.869	M16	Yes
AD	3	3	MA	1	119.432	M16	Yes
AD	3	3	MA	2	51.139	M16	Yes
AD	3	3	MA	3	50.797	M16	Yes
AD	3	3	MA	4	37.438	M16	Yes
AD	3	3	MA	5	71.811	M16	Yes
AD	4	3	MA	1	35.809	M16	Yes
AD	4	3	MA	2	25.566	M16	Yes
AD	4	3	MA	3	48.394	M16	Yes
AD	4	3	MA	4	29.594	M16	Yes
AD	1	3	PV	5	44.169	M16	Yes
AD	1	3	PV	3	62.283	M16	Yes
AD	1	3	PV	4	66.943	M16	Yes
AD	2	4	MA	1	58.418	M16	Yes
AD	2	2	MA	4	120.078	M16	Yes
AD	2	2	MA	5	41.794	M16	Yes
AE	1	3	PV	2	63.184	M11	Yes
AE	1	6	PV	2	32.632	M11	Yes
AE	1	3	PV	1	43.505	M11	Yes
AE	1	3	MA	5	48.739	M11	Yes
AE	1	6	MA	1	56.724	M11	Yes
AE	1	6	MA	2	39.4	M11	Yes
AE	1	6	MA	3	100.443	M11	Yes
AE	1	6	MA	4	51.987	M11	Yes
AE	1	6	MA	5	73.395	M11	Yes
AE	1	6	NS	2	41.64	M11	Yes
AE	1	6	NS	3	17.736	M11	Yes
AE	1	6	NS	4	16.555	M11	Yes
AE	1	6	NS	5	13.132	M11	Yes
AE	1	6	PV	3	28.083	M11	Yes
AE	1	6	PV	4	32.922	M11	Yes
AE	1	6	PV	5	27.748	M11	Yes
AE	1	3	NS	1	19.765	M11	Yes
AE	1	3	NS	2	11.112	M11	Yes
AE	1	3	NS	3	12.225	M11	Yes
AE	1	3	NS	4	10.738	M11	Yes
AE	1	3	NS	5	25.313	M11	Yes
AE	1	6	NS	1	16.234	M11	Yes
AE	1	6	PV	1	34.046	M11	Yes
AE	1	3	PV	3	30.363	M11	Yes
AE	1	3	PV	4	53.131	M11	Yes
AE	1	3	PV	5	29.203	M11	Yes
AE	1	3	MA	4	83.755	M11	Yes
AE	1	3	MA	1	33.913	M11	Yes
AE	1	3	MA	2	59.351	M11	Yes
AE	1	3	MA	3	46.046	M11	Yes
AF	1	6	PV	2	28.359	M23	Yes
AF	1	6	NS	1	35.734	M23	Yes
AF	1	6	NS	2	20.236	M23	Yes
AF	1	6	NS	3	25.464	M23	Yes
AF	1	6	NS	4	59.219	M23	Yes
AF	1	6	NS	5	32.749	M23	Yes
AF	1	6	PV	3	51.176	M23	Yes
AF	1	6	PV	4	32.804	M23	Yes
AF	1	6	PV	5	40.862	M23	Yes
AF	1	3	NS	1	13.92	M23	Yes
AF	1	3	NS	2	9.783	M23	Yes
AF	1	3	NS	3	29.54	M23	Yes
AF	1	3	NS	4	4.891	M23	Yes
AF	1	3	NS	5	5.544	M23	Yes
AF	1	3	PV	1	56.81	M23	Yes
AF	1	3	PV	2	36.975	M23	Yes
AF	1	3	PV	3	46.002	M23	Yes
AF	1	3	PV	4	23.631	M23	Yes
AF	1	3	PV	5	41.254	M23	Yes
AF	1	6	PV	1	27.026	M23	Yes
AF	1	3	MA	1	44.358	M23	Yes
AF	1	3	MA	2	98.216	M23	Yes
AF	1	3	MA	3	93.478	M23	Yes
AF	1	3	MA	4	90.737	M23	Yes
AF	1	3	MA	5	74.814	M23	Yes
AF	1	6	MA	1	92.908	M23	Yes
AF	1	6	MA	2	130.664	M23	Yes
AF	1	6	MA	3	37.35	M23	Yes
AF	1	6	MA	4	68.395	M23	Yes
AF	1	6	MA	5	67.062	M23	Yes
B	4	5	MA	5	37.3	M30	No
B	2	1	NS	3	25.497	M30	No
B	4	5	MA	4	28.454	M30	No
B	4	5	NS	4	27.621	M30	No
B	4	5	NS	5	39.16	M30	No
B	4	5	NS	3	53.177	M30	No
B	2	2	PV	2	49.158	M30	No
B	2	2	PV	3	61.627	M30	No
B	2	2	PV	4	29.313	M30	No
B	2	2	PV	5	39.362	M30	No
B	4	3	PV	1	38.69	M30	No
B	4	3	PV	2	50.321	M30	No
B	4	3	PV	3	40.658	M30	No
B	4	3	PV	4	50.84	M30	No
B	4	3	PV	5	43.716	M30	No
B	4	5	PV	1	54.201	M30	No
B	4	5	PV	2	59.987	M30	No
B	4	5	PV	3	46.093	M30	No
B	4	5	PV	4	35.293	M30	No
B	4	5	PV	5	61.052	M30	No
B	4	3	MA	5	35.025	M30	No
B	4	5	MA	1	37.567	M30	No
B	4	5	MA	2	42.993	M30	No
B	4	5	MA	3	69.411	M30	No
B	2	1	NS	1	42.541	M30	No
B	2	1	NS	2	29.588	M30	No
B	4	5	NS	1	42.221	M30	No
B	2	1	NS	4	18.575	M30	No
B	2	1	NS	5	26.067	M30	No
B	2	2	NS	1	27.984	M30	No
B	2	2	NS	2	19.186	M30	No
B	2	2	NS	3	44.667	M30	No
B	2	2	NS	4	13.086	M30	No
B	2	2	NS	5	19.437	M30	No
B	4	3	NS	1	22.347	M30	No
B	4	3	NS	2	43.752	M30	No
B	4	3	NS	3	37.956	M30	No
B	4	3	NS	4	82.799	M30	No
B	4	3	NS	5	24.444	M30	No
B	2	2	MA	1	70.145	M30	No
B	4	5	NS	2	33.067	M30	No
B	2	1	PV	1	45.58	M30	No
B	2	1	PV	2	58.739	M30	No
B	2	1	PV	3	60.743	M30	No
B	2	1	PV	4	43.36	M30	No
B	2	1	PV	5	44.973	M30	No
B	2	2	PV	1	31.572	M30	No
B	2	1	MA	1	46.901	M30	No
B	2	1	MA	2	41.678	M30	No
B	2	1	MA	3	52.889	M30	No
B	2	1	MA	4	46.901	M30	No
B	2	1	MA	5	44.649	M30	No
B	2	2	MA	5	43.698	M30	No
B	2	2	MA	2	37.15	M30	No
B	2	2	MA	3	50.091	M30	No
B	2	2	MA	4	39.696	M30	No
B	4	3	MA	4	23.35	M30	No
B	4	3	MA	1	47.266	M30	No
B	4	3	MA	2	40.65	M30	No
B	4	3	MA	3	31.235	M30	No
C	2	3	PV	2	23.499	M29	No
C	2	1	PV	1	23.897	M29	No
C	2	1	PV	2	42.181	M29	No
C	2	1	PV	3	35.631	M29	No
C	2	1	PV	4	22.367	M29	No
C	2	1	PV	5	27.821	M29	No
C	2	3	PV	1	22.161	M29	No
C	2	3	PV	3	32.587	M29	No
C	2	3	PV	4	30.414	M29	No
C	2	3	PV	5	35.96	M29	No
C	2	1	MA	5	28.122	M29	No
C	2	3	MA	1	28.184	M29	No
C	2	3	MA	2	31.268	M29	No
C	2	3	MA	3	17.513	M29	No
C	2	3	MA	4	24.719	M29	No
C	2	3	MA	5	19.988	M29	No
C	2	3	NS	1	23.697	M29	No
C	2	3	NS	2	23.529	M29	No
C	2	3	NS	3	22.884	M29	No
C	2	3	NS	4	19.717	M29	No
C	2	3	NS	5	36.911	M29	No
C	2	1	MA	1	32.23	M29	No
C	2	1	MA	2	17.878	M29	No
C	2	1	MA	3	20.568	M29	No
C	2	1	NS	1	54.538	M29	No
C	2	1	NS	2	22.589	M29	No
C	2	1	NS	3	28.281	M29	No
C	2	1	NS	4	23.024	M29	No
C	2	1	NS	5	27.026	M29	No
C	2	1	MA	4	17.479	M29	No
D	1	7	PV	3	43.993	M1	No
D	1	7	PV	4	31.55	M1	No
D	1	7	PV	5	41.286	M1	No
D	1	7	PV	2	38.858	M1	No
D	2	5	PV	2	30.92	M1	No
D	2	5	PV	3	26.047	M1	No
D	2	5	PV	4	33.98	M1	No
D	2	5	PV	1	38.376	M1	No
D	1	1	NS	5	35.142	M1	No
D	1	7	NS	1	42.724	M1	No
D	1	7	NS	2	41.396	M1	No
D	1	7	NS	3	29.121	M1	No
D	1	7	NS	4	29.333	M1	No
D	1	7	NS	5	38.657	M1	No
D	2	5	NS	1	27.384	M1	No
D	2	5	NS	2	25.042	M1	No
D	2	5	NS	3	25.941	M1	No
D	1	1	NS	1	39.255	M1	No
D	1	1	NS	2	44.691	M1	No
D	1	1	NS	3	33.047	M1	No
D	1	1	NS	4	32.712	M1	No
D	1	1	PV	1	54.634	M1	No
D	1	1	PV	2	50.497	M1	No
D	1	1	PV	3	44.497	M1	No
D	1	1	PV	4	41.236	M1	No
D	1	1	PV	5	45.18	M1	No
D	1	7	PV	1	43.512	M1	No
D	1	1	MA	1	30.637	M1	No
D	1	1	MA	2	41.979	M1	No
D	1	1	MA	3	57.46	M1	No
D	1	1	MA	4	32.385	M1	No
D	1	1	MA	5	35.057	M1	No
D	1	7	MA	1	44.055	M1	No
D	1	7	MA	2	37.729	M1	No
D	1	7	MA	3	39.736	M1	No
D	2	5	PV	5	25.798	M1	No
D	2	6	PV	1	47.342	M1	No
D	2	6	PV	2	29.089	M1	No
D	2	6	PV	3	40.533	M1	No
D	2	6	PV	4	40.153	M1	No
D	2	6	PV	5	30.697	M1	No
D	2	5	MA	4	35.206	M1	No
D	2	5	MA	5	35.828	M1	No
D	2	6	MA	1	31.218	M1	No
D	2	6	MA	2	28.88	M1	No
D	2	6	MA	3	32.557	M1	No
D	2	6	MA	4	26.531	M1	No
D	2	6	MA	5	39.625	M1	No
D	2	6	NS	2	32.264	M1	No
D	2	6	NS	3	23.788	M1	No
D	2	6	NS	4	29.599	M1	No
D	2	6	NS	5	26.396	M1	No
D	1	7	MA	5	26.417	M1	No
D	2	5	MA	1	24.465	M1	No
D	2	5	MA	2	45.619	M1	No
D	2	5	MA	3	30.707	M1	No
D	2	6	NS	1	27.317	M1	No
D	2	5	NS	4	29.51	M1	No
D	2	5	NS	5	34.471	M1	No
D	1	7	MA	4	33.658	M1	No
E	2	3	PV	2	51.787	M2	No
E	1	3	PV	3	38.897	M2	No
E	1	3	PV	4	41.665	M2	No
E	1	3	PV	5	39.148	M2	No
E	2	3	PV	1	29.249	M2	No
E	2	1	PV	2	29.982	M2	No
E	2	1	PV	3	27.407	M2	No
E	2	1	PV	4	38.002	M2	No
E	2	1	PV	5	41.662	M2	No
E	3	3	PV	4	18.216	M2	No
E	3	3	PV	5	29.994	M2	No
E	3	2	MA	4	21.224	M2	No
E	3	2	MA	5	23.204	M2	No
E	3	3	MA	1	26.326	M2	No
E	3	3	MA	2	20.652	M2	No
E	3	3	MA	3	18.254	M2	No
E	3	3	MA	4	29.972	M2	No
E	2	1	PV	1	53.326	M2	No
E	3	2	PV	5	14.32	M2	No
E	3	3	PV	1	32.094	M2	No
E	3	3	PV	2	24.924	M2	No
E	3	3	PV	3	28.907	M2	No
E	2	3	NS	3	40.284	M2	No
E	2	3	NS	4	32.611	M2	No
E	2	3	NS	5	28.639	M2	No
E	3	2	NS	1	33.531	M2	No
E	3	2	NS	2	25.145	M2	No
E	3	2	NS	3	24.174	M2	No
E	3	2	NS	4	22.728	M2	No
E	3	2	NS	5	20.569	M2	No
E	3	3	NS	1	17.905	M2	No
E	3	3	NS	2	28.836	M2	No
E	3	3	NS	3	29.594	M2	No
E	3	3	NS	4	25.516	M2	No
E	3	3	NS	5	22.779	M2	No
E	1	3	MA	2	28.87	M2	No
E	1	3	MA	3	22.403	M2	No
E	1	3	MA	4	15.841	M2	No
E	2	3	PV	3	47.322	M2	No
E	2	3	PV	4	30.043	M2	No
E	2	3	PV	5	51.191	M2	No
E	3	2	PV	1	36.811	M2	No
E	3	2	PV	2	24.606	M2	No
