	Mouse.ID	Date	Left.Ear.Punch	Right.Ear.Punch	Body.Weight..g.	Fasting.Glucose	Donor	Donor.Type	Cohoused	Cage.ID	Diet	Diet.Type	Food.Weight.Out..g.	Food.Weight.In..g.	timepoint	Week	Group.Start	Group.End
M13.11.14.17	M13	11/14/17	2	1	18.4	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	157.7	231.6	middle	6	Thai.HighFiber	Thai.HighFiber
M13.11.27.17	M13	11/28/17	2	1	18.7	143	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	135.6	NA	endpoint	8	Thai.HighFiber	Thai.HighFiber
M14.10.3.17	M14	10/3/17	1	1	20.3	131	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	NA	266.1	baseline	0	Thai.HighFiber	Thai.HighFiber
M14.10.17.17	M14	10/17/17	1	1	21.6	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	43.2	286.6	middle	2	Thai.HighFiber	Thai.HighFiber
M14.10.31.17	M14	10/31/17	1	1	21.9	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	81.9	449.1	middle	4	Thai.HighFiber	Thai.HighFiber
M14.11.14.17	M14	11/14/17	1	1	23.3	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	157.7	231.6	middle	6	Thai.HighFiber	Thai.HighFiber
M14.11.27.17	M14	11/28/17	1	1	23.2	176	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	135.6	NA	endpoint	8	Thai.HighFiber	Thai.HighFiber
M15.10.3.17	M15	10/3/17	0	0	15.6	128	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	NA	266.1	baseline	0	Thai.HighFiber	Thai.HighFiber
M15.10.17.17	M15	10/17/17	0	0	18.5	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	43.2	286.6	middle	2	Thai.HighFiber	Thai.HighFiber
M15.10.31.17	M15	10/31/17	0	0	19.8	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	81.9	449.1	middle	4	Thai.HighFiber	Thai.HighFiber
M15.11.14.17	M15	11/14/17	0	0	20.8	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	157.7	309.5	middle	6	Thai.HighFiber	Thai.HighFiber
M15.11.28.17	M15	11/28/17	0	0	22.1	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	96	369.9	middle	8	Thai.HighFiber	Thai.HighFiber
M15.12.11.17	M15	12/12/17	0	0	21.7	112	TFSCS023	Thai	TRUE	C3-4	LabDiet 5061	HighFiber	149.6	NA	endpoint	10	Thai.HighFiber	Thai.HighFiber.Cohoused
M16.10.3.17	M16	10/3/17	0	1	12.7	117	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	NA	251.9	baseline	0	US.HighFiber	US.HighFiber
M16.10.17.17	M16	10/17/17	0	1	11.7	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	3.2	294.8	middle	2	US.HighFiber	US.HighFiber
M16.10.31.17	M16	10/31/17	0	1	16.5	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	35	474.6	middle	4	US.HighFiber	US.HighFiber
M16.11.14.17	M16	11/14/17	0	1	17.1	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	138.6	233.9	middle	6	US.HighFiber	US.HighFiber
M16.11.27.17	M16	11/28/17	0	1	17.8	113	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	167.6	NA	endpoint	8	US.HighFiber	US.HighFiber
M17.10.3.17	M17	10/3/17	0	2	15.7	118	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	NA	251.9	baseline	0	US.HighFiber	US.HighFiber
M17.10.17.17	M17	10/17/17	0	2	15.1	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	3.2	294.8	middle	2	US.HighFiber	US.HighFiber
M17.10.31.17	M17	10/31/17	0	2	18.1	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	35	474.6	middle	4	US.HighFiber	US.HighFiber
M17.11.14.17	M17	11/14/17	0	2	19.1	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	138.6	233.9	middle	6	US.HighFiber	US.HighFiber
M17.11.27.17	M17	11/28/17	0	2	20.6	240	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	167.6	NA	endpoint	8	US.HighFiber	US.HighFiber
M18.10.3.17	M18	10/3/17	1	2	17.3	102	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	NA	251.9	baseline	0	US.HighFiber	US.HighFiber
M18.10.17.17	M18	10/17/17	1	2	17.2	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	3.2	294.8	middle	2	US.HighFiber	US.HighFiber
M18.10.31.17	M18	10/31/17	1	2	19.7	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	35	474.6	middle	4	US.HighFiber	US.HighFiber
M18.11.14.17	M18	11/14/17	1	2	20.2	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	138.6	314.8	middle	6	US.HighFiber	US.HighFiber
M18.11.28.17	M18	11/28/17	1	2	22.2	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	66.3	369.9	middle	8	US.HighFiber	US.HighFiber
M18.12.11.17	M18	12/12/17	1	2	21.6	177	IMP.263	US	TRUE	C3-4	LabDiet 5061	HighFiber	149.6	NA	endpoint	10	US.HighFiber	US.HighFiber.Cohoused
M19.10.3.17	M19	10/3/17	2	2	20	142	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	NA	251.9	baseline	0	US.HighFiber	US.HighFiber
M19.10.17.17	M19	10/17/17	2	2	19.5	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	3.2	294.8	middle	2	US.HighFiber	US.HighFiber
M19.10.31.17	M19	10/31/17	2	2	23.3	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	35	474.6	middle	4	US.HighFiber	US.HighFiber
M19.11.14.17	M19	11/14/17	2	2	22.6	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	138.6	314.8	middle	6	US.HighFiber	US.HighFiber
M19.11.28.17	M19	11/28/17	2	2	25.2	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	66.3	369.9	middle	8	US.HighFiber	US.HighFiber
M19.12.11.17	M19	12/12/17	2	2	24.7	155	IMP.263	US	TRUE	C3-4	LabDiet 5061	HighFiber	149.6	NA	endpoint	10	US.HighFiber	US.HighFiber.Cohoused
M2.7.11.17	M2	7/11/17	1	0	18.7	218	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	NA	227.4	baseline	0	Thai.LowFiber	Thai.LowFiber
M2.7.25.17	M2	7/25/17	1	0	19.7	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	14.3	228.8	middle	2	Thai.LowFiber	Thai.LowFiber
M2.8.8.17	M2	8/8/17	1	0	20.3	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	29.9	206	middle	4	Thai.LowFiber	Thai.LowFiber
M2.8.22.17	M2	8/22/17	1	0	21.5	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	7.4	229	middle	6	Thai.LowFiber	Thai.LowFiber
M2.9.5.17	M2	9/5/17	1	0	22.7	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	34.9	197.1	middle	8	Thai.LowFiber	Thai.LowFiber
M2.9.19.17	M2	9/19/17	1	0	24.2	188	TFSCS023	Thai	TRUE	C1-2	TD.86489	LowFiber	6.5	NA	endpoint	10	Thai.LowFiber	Thai.LowFiber.Cohoused
M20.10.3.17	M20	10/3/17	0	3	19.3	131	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	NA	251.9	baseline	0	US.HighFiber	US.HighFiber
M20.10.17.17	M20	10/17/17	0	3	18.9	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	3.2	294.8	middle	2	US.HighFiber	US.HighFiber
M20.10.31.17	M20	10/31/17	0	3	20.7	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	35	474.6	middle	4	US.HighFiber	US.HighFiber
M20.11.14.17	M20	11/14/17	0	3	22.4	NA	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	138.6	233.9	middle	6	US.HighFiber	US.HighFiber
M20.11.27.17	M20	11/28/17	0	3	22.7	157	IMP.263	US	FALSE	4	LabDiet 5061	HighFiber	167.6	NA	endpoint	8	US.HighFiber	US.HighFiber
M21.10.25.17	M21	10/25/17	1	0	11.5	126	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	NA	233.3	baseline	0	Thai.LowFiber	Thai.LowFiber
M21.11.8.17	M21	11/8/17	1	0	17.6	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	14.6	208	middle	2	Thai.LowFiber	Thai.LowFiber
M21.11.22.17	M21	11/22/17	1	0	20.6	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	58.3	181.2	middle	4	Thai.LowFiber	Thai.LowFiber
M21.12.6.17	M21	12/6/17	1	0	21.2	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	7.6	255.5	middle	6	Thai.LowFiber	Thai.LowFiber
M21.12.19.17	M21	12/20/17	1	0	22.4	173	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	83.8	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M22.10.25.17	M22	10/25/17	2	0	16.6	128	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	NA	233.3	baseline	0	Thai.LowFiber	Thai.LowFiber
M22.11.8.17	M22	11/8/17	2	0	20.5	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	14.6	208	middle	2	Thai.LowFiber	Thai.LowFiber
M22.11.22.17	M22	11/22/17	2	0	20.9	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	58.3	181.2	middle	4	Thai.LowFiber	Thai.LowFiber
M22.12.6.17	M22	12/6/17	2	0	21.5	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	7.6	255.5	middle	6	Thai.LowFiber	Thai.LowFiber
M22.12.19.17	M22	12/20/17	2	0	22	172	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	83.8	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M23.10.25.17	M23	10/25/17	2	1	17.4	144	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	NA	233.3	baseline	0	Thai.LowFiber	Thai.LowFiber
M23.11.8.17	M23	11/8/17	2	1	21.2	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	14.6	208	middle	2	Thai.LowFiber	Thai.LowFiber
M23.11.22.17	M23	11/22/17	2	1	22	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	58.3	181.2	middle	4	Thai.LowFiber	Thai.LowFiber
M23.12.6.17	M23	12/6/17	2	1	22.3	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	7.6	255.5	middle	6	Thai.LowFiber	Thai.LowFiber
M23.12.19.17	M23	12/20/17	2	1	23.7	182	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	83.8	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M24.10.25.17	M24	10/25/17	1	1	16.6	111	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	NA	233.3	baseline	0	Thai.LowFiber	Thai.LowFiber
M24.11.8.17	M24	11/8/17	1	1	20.8	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	14.6	208	middle	2	Thai.LowFiber	Thai.LowFiber
M24.11.22.17	M24	11/22/17	1	1	21.9	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	58.3	181.2	middle	4	Thai.LowFiber	Thai.LowFiber
M24.12.6.17	M24	12/6/17	1	1	22.4	NA	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	7.6	255.5	middle	6	Thai.LowFiber	Thai.LowFiber
M24.12.19.17	M24	12/20/17	1	1	23.6	98	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	83.8	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M25.10.25.17	M25	10/25/17	0	0	16.8	102	TFSCS026	Thai	FALSE	6	TD.86489	LowFiber	NA	233.3	baseline	0	Thai.LowFiber	Thai.LowFiber
M26.10.25.17	M26	10/25/17	0	1	14.7	114	IMP.264	US	FALSE	7	TD.86489	LowFiber	NA	221.4	baseline	0	US.LowFiber	US.LowFiber
M27.10.25.17	M27	10/25/17	0	2	15.6	73	IMP.264	US	FALSE	7	TD.86489	LowFiber	NA	221.4	baseline	0	US.LowFiber	US.LowFiber
M27.11.8.17	M27	11/8/17	0	2	18.9	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	7.8	209.6	middle	2	US.LowFiber	US.LowFiber
M27.11.22.17	M27	11/22/17	1	2	20.4	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	76.3	198.6	middle	4	US.LowFiber	US.LowFiber
M27.12.6.17	M27	12/6/17	1	2	20.1	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	66.6	197.2	middle	6	US.LowFiber	US.LowFiber
M27.12.19.17	M27	12/20/17	1	2	21	249	IMP.264	US	FALSE	7	TD.86489	LowFiber	67.5	NA	endpoint	8	US.LowFiber	US.LowFiber
M28.10.25.17	M28	10/25/17	1	2	16.8	103	IMP.264	US	FALSE	7	TD.86489	LowFiber	NA	221.4	baseline	0	US.LowFiber	US.LowFiber
M28.11.8.17	M28	11/8/17	1	2	19.4	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	7.8	209.6	middle	2	US.LowFiber	US.LowFiber
M29.10.25.17	M29	10/25/17	2	2	15.9	80	IMP.264	US	FALSE	7	TD.86489	LowFiber	NA	221.4	baseline	0	US.LowFiber	US.LowFiber
M29.11.8.17	M29	11/8/17	2	2	22.3	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	7.8	209.6	middle	2	US.LowFiber	US.LowFiber
M29.11.22.17	M29	11/22/17	2	2	20.7	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	76.3	198.6	middle	4	US.LowFiber	US.LowFiber
M29.12.6.17	M29	12/6/17	2	2	21.9	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	66.6	197.2	middle	6	US.LowFiber	US.LowFiber
M29.12.19.17	M29	12/20/17	2	2	23	228	IMP.264	US	FALSE	7	TD.86489	LowFiber	67.5	NA	endpoint	8	US.LowFiber	US.LowFiber
M3.7.11.17	M3	7/11/17	0	1	16.8	167	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	NA	227.4	baseline	0	Thai.LowFiber	Thai.LowFiber
M3.7.25.17	M3	7/25/17	0	1	18.1	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	14.3	228.8	middle	2	Thai.LowFiber	Thai.LowFiber
M3.8.8.17	M3	8/8/17	0	1	19	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	29.9	206	middle	4	Thai.LowFiber	Thai.LowFiber
M3.8.22.17	M3	8/22/17	0	1	20.8	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	7.4	229	middle	6	Thai.LowFiber	Thai.LowFiber
M3.9.5.17	M3	9/5/17	0	1	20.2	365	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	34.9	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M30.10.25.17	M30	10/25/17	0	3	16.1	125	IMP.264	US	FALSE	7	TD.86489	LowFiber	NA	221.4	baseline	0	US.LowFiber	US.LowFiber
M30.11.8.17	M30	11/8/17	0	3	23.5	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	7.8	209.6	middle	2	US.LowFiber	US.LowFiber
M30.11.22.17	M30	11/22/17	0	3	23.8	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	76.3	198.6	middle	4	US.LowFiber	US.LowFiber
M30.12.6.17	M30	12/6/17	0	3	24	NA	IMP.264	US	FALSE	7	TD.86489	LowFiber	66.6	197.2	middle	6	US.LowFiber	US.LowFiber
M30.12.19.17	M30	12/20/17	0	3	24.8	155	IMP.264	US	FALSE	7	TD.86489	LowFiber	67.5	NA	endpoint	8	US.LowFiber	US.LowFiber
M31.1.16.18	M31	1/16/18	0	0	19	187	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	NA	503.6	baseline	0	US.HighFiber	US.HighFiber
M31.1.30.18	M31	1/30/18	0	0	21.4	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	262	323.1	middle	2	US.HighFiber	US.HighFiber
M31.2.13.18	M31	2/13/18	0	0	22.2	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	110.3	250.8	middle	4	US.HighFiber	US.HighFiber
M31.2.27.18	M31	2/27/18	0	0	23.8	NA	IMP.264	US	FALSE	9	LabDiet 5061	HighFiber	128.1	231.5	middle	6	US.HighFiber	US.HighFiber
M31.3.12.18	M31	3/13/18	0	0	23.3	204	IMP.264	US	FALSE	9	LabDiet 5061	HighFiber	110.2	NA	endpoint	8	US.HighFiber	US.HighFiber
M32.1.16.18	M32	1/16/18	1	0	16.5	163	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	NA	503.6	baseline	0	US.HighFiber	US.HighFiber
M32.1.30.18	M32	1/30/18	1	0	18.7	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	262	323.1	middle	2	US.HighFiber	US.HighFiber
M32.2.13.18	M32	2/13/18	1	0	19.9	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	110.3	207.3	middle	4	US.HighFiber	US.HighFiber
M32.2.27.18	M32	2/27/18	1	0	21.9	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	89.4	232.9	middle	6	US.HighFiber	US.HighFiber
M32.3.12.18	M32	3/13/18	1	0	22.3	212	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	114.8	NA	endpoint	8	US.HighFiber	US.HighFiber
M33.1.16.18	M33	1/16/18	0	1	16.8	131	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	NA	503.6	baseline	0	US.HighFiber	US.HighFiber
M33.1.30.18	M33	1/30/18	0	1	20.1	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	262	323.1	middle	2	US.HighFiber	US.HighFiber
M33.2.13.18	M33	2/13/18	0	1	20.6	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	110.3	207.3	middle	4	US.HighFiber	US.HighFiber
M33.2.27.18	M33	2/27/18	0	1	23.2	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	89.4	232.9	middle	6	US.HighFiber	US.HighFiber
M33.3.12.18	M33	3/13/18	0	1	21.1	254	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	114.8	NA	endpoint	8	US.HighFiber	US.HighFiber
M34.1.16.18	M34	1/16/18	1	1	17.8	146	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	NA	503.6	baseline	0	US.HighFiber	US.HighFiber
M34.1.30.18	M34	1/30/18	1	1	19	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	262	323.1	middle	2	US.HighFiber	US.HighFiber
M34.2.13.18	M34	2/13/18	1	1	22.1	NA	IMP.264	US	FALSE	8	LabDiet 5061	HighFiber	110.3	250.8	middle	4	US.HighFiber	US.HighFiber
M34.2.27.18	M34	2/27/18	1	1	21.5	NA	IMP.264	US	FALSE	9	LabDiet 5061	HighFiber	128.1	231.5	middle	6	US.HighFiber	US.HighFiber
M34.3.12.18	M34	3/13/18	1	1	21.4	171	IMP.264	US	FALSE	9	LabDiet 5061	HighFiber	110.2	NA	endpoint	8	US.HighFiber	US.HighFiber
M35.2.13.18	M35	2/13/18	0	0	19.2	138	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	NA	223.9	baseline	0	Thai.HighFiber	Thai.HighFiber
M35.2.27.18	M35	2/27/18	0	0	19.4	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	101.4	431.4	middle	2	Thai.HighFiber	Thai.HighFiber
M35.3.13.18	M35	3/13/18	0	0	20.8	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	90.2	313	middle	4	Thai.HighFiber	Thai.HighFiber
M35.3.27.18	M35	3/27/18	0	0	22.4	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	63	356	middle	6	Thai.HighFiber	Thai.HighFiber
M35.4.9.18	M35	4/10/18	0	0	23.4	187	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	111.9	NA	endpoint	8	Thai.HighFiber	Thai.HighFiber
M36.2.13.18	M36	2/13/18	1	0	19.7	133	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	NA	223.9	baseline	0	Thai.HighFiber	Thai.HighFiber
M36.2.27.18	M36	2/27/18	1	0	19.9	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	101.4	431.4	middle	2	Thai.HighFiber	Thai.HighFiber
M36.3.13.18	M36	3/13/18	1	0	21	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	90.2	313	middle	4	Thai.HighFiber	Thai.HighFiber
M36.3.27.18	M36	3/27/18	1	0	21.7	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	63	356	middle	6	Thai.HighFiber	Thai.HighFiber
M36.4.9.18	M36	4/10/18	1	0	22.3	160	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	111.9	NA	endpoint	8	Thai.HighFiber	Thai.HighFiber
M37.2.13.18	M37	2/13/18	0	1	17.4	122	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	NA	223.9	baseline	0	Thai.HighFiber	Thai.HighFiber
M37.2.27.18	M37	2/27/18	0	1	18	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	101.4	431.4	middle	2	Thai.HighFiber	Thai.HighFiber
M37.3.13.18	M37	3/13/18	0	1	19.2	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	90.2	313	middle	4	Thai.HighFiber	Thai.HighFiber
M37.3.27.18	M37	3/27/18	0	1	21	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	63	356	middle	6	Thai.HighFiber	Thai.HighFiber
M37.4.9.18	M37	4/10/18	0	1	20.8	231	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	111.9	NA	endpoint	8	Thai.HighFiber	Thai.HighFiber
M38.2.13.18	M38	2/13/18	1	1	18.9	153	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	NA	223.9	baseline	0	Thai.HighFiber	Thai.HighFiber
M38.2.27.18	M38	2/27/18	1	1	19.6	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	101.4	431.4	middle	2	Thai.HighFiber	Thai.HighFiber
