feature	qval	prevalence.baseline	prevalence.nonbaseline	taxa	short.taxa
20	0.000797590662207417	0.957894736842105	0.795620437956204	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__Subdoligranulum variabile;t__	Subdoligranulum variabile
832	0.802138014650637	0.957894736842105	0.970802919708029	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans;t__	Fusicatenibacter saccharivorans
884	0.0400188898835708	0.957894736842105	0.868613138686131	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	Lachnoclostridium
1200	0.0737839732055675	0.947368421052632	0.861313868613139	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii;t__	Intestinibacter bartlettii
1552	0.684252292758961	0.947368421052632	0.91970802919708	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	Erysipelotrichaceae
1888	2.44530669828918e-08	0.947368421052632	0.627737226277372	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
3761	0.00209795945404244	0.947368421052632	0.795620437956204	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
881	0.684252292758961	0.947368421052632	0.927007299270073	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	Lachnoclostridium
1458	0.2473004044468	0.936842105263158	0.875912408759124	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	Clostridiales
1453	0.000685619023810424	0.936842105263158	0.759124087591241	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae	Oscillospiraceae
3283	0.00109416973145615	0.936842105263158	0.766423357664234	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
427	0.648513940576386	0.936842105263158	0.956204379562044	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	Bacteroides
576	0.335198918782245	0.936842105263158	0.883211678832117	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae;t__Haemophilus parainfluenzae ATCC 33392	t__Haemophilus parainfluenzae ATCC 33392
828	0.17688835573154	0.936842105263158	0.868613138686131	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Fusicatenibacter	Fusicatenibacter
1809	5.48239238479762e-13	0.926315789473684	0.45985401459854	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1652	0.590313022983908	0.926315789473684	0.897810218978102	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus rogosae;t__	Lactobacillus rogosae
1728	0.4845902400051	0.926315789473684	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis;t__	Roseburia faecis
1956	5.96145676433538e-08	0.926315789473684	0.598540145985402	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	Faecalibacterium
383	0.00996927370064399	0.926315789473684	0.788321167883212	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii;t__	Alistipes shahii
43	1.18746630287135e-07	0.926315789473684	0.613138686131387	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
929	0.0237367240979752	0.926315789473684	0.81021897810219	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella	Hungatella
1672	0.511123889392929	0.91578947368421	0.948905109489051	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] hallii;t__	[Eubacterium] hallii
1709	0.0823374250825699	0.91578947368421	0.824817518248175	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis;t__Roseburia intestinalis L1-82	t__Roseburia intestinalis L1-82
1715	0.487467972332364	0.91578947368421	0.875912408759124	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis;t__Roseburia hominis A2-183	t__Roseburia hominis A2-183
1846	1.20658638310254e-06	0.91578947368421	0.627737226277372	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
2541	1.39414435133016e-08	0.91578947368421	0.562043795620438	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
285	6.19525045675019e-05	0.91578947368421	0.686131386861314	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
42	1.20658638310254e-06	0.91578947368421	0.627737226277372	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
4334	0.059562446443554	0.91578947368421	0.817518248175182	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
738	0.208494352710724	0.91578947368421	0.963503649635037	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus;t__	Actinomyces odontolyticus
856	0.000795674701432775	0.91578947368421	0.72992700729927	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	Clostridiales
886	0.00538208607297695	0.91578947368421	0.759124087591241	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	Ruminococcus
895	0.217852853434114	0.91578947368421	0.846715328467153	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	Lachnoclostridium
953	0.698346136495686	0.91578947368421	0.934306569343066	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanolyticus	Bacteroides xylanolyticus
1283	0.0303886451629783	0.905263157894737	0.978102189781022	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Streptococcus
1288	0.377623009603259	0.905263157894737	0.948905109489051	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Streptococcus
1752	0.0228891375436137	0.905263157894737	0.773722627737226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus faecis;t__Ruminococcus faecis JCM 15917	t__Ruminococcus faecis JCM 15917
930	0.127890723022458	0.905263157894737	0.817518248175182	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella	Hungatella
1277	0.140589679433406	0.894736842105263	0.81021897810219	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
3910	0.255039315541099	0.894736842105263	0.824817518248175	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
4372	0.000797590662207417	0.894736842105263	0.693430656934307	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
743	0.0543079501099846	0.894736842105263	0.781021897810219	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	Tyzzerella
771	0.332915647655966	0.894736842105263	0.832116788321168	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	Lachnoclostridium
1045	0.650958566848831	0.884210526315789	0.854014598540146	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens;t__	Collinsella aerofaciens
1084	0.544727027976712	0.884210526315789	0.846715328467153	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens;t__	Collinsella aerofaciens
1595	0.0305425816504092	0.884210526315789	0.751824817518248	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium succinatutens;t__	Phascolarctobacterium succinatutens
1463	0.153752817038174	0.884210526315789	0.795620437956204	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter	Oscillibacter
1786	0.0307577669718804	0.884210526315789	0.759124087591241	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	Eubacterium
2346	4.45589316904657e-08	0.884210526315789	0.532846715328467	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
3924	0.269832395960849	0.884210526315789	0.817518248175182	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
435	0.204208953969467	0.884210526315789	0.941605839416058	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens;t__Bacteroides xylanisolvens XB1A	t__Bacteroides xylanisolvens XB1A
534	0.154181346240431	0.884210526315789	0.802919708029197	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	Desulfovibrio
9	1.71357486904527e-09	0.884210526315789	0.489051094890511	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis;t__	Gemmiger formicilis
928	0.0823374250825699	0.884210526315789	0.781021897810219	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hespellia	Hespellia
1863	0.00311493346919348	0.873684210526316	0.693430656934307	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1986	9.05874941013088e-09	0.873684210526316	0.496350364963504	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
2571	4.99555055152887e-10	0.873684210526316	0.45985401459854	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
664	0.453218047365519	0.873684210526316	0.824817518248175	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acutalibacter	Acutalibacter
954	0.554066712881515	0.873684210526316	0.832116788321168	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanolyticus	Bacteroides xylanolyticus
962	0.914702064966471	0.873684210526316	0.861313868613139	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus catus;t__	Coprococcus catus
1252	0.000137478959474715	0.863157894736842	0.62043795620438	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis;t__	Gemmiger formicilis
1452	8.02739234457955e-05	0.863157894736842	0.613138686131387	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter	Oscillibacter
1523	0.00844147460513507	0.863157894736842	0.700729927007299	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis;t__	Holdemanella biformis
23	0.626494282757431	0.863157894736842	0.897810218978102	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	Faecalibacterium
1922	2.84160548014843e-06	0.863157894736842	0.562043795620438	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1957	8.54504587995091e-07	0.863157894736842	0.54014598540146	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	Faecalibacterium
1971	0.0185755570138826	0.863157894736842	0.715328467153285	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	Faecalibacterium
2569	6.34228191290226e-11	0.863157894736842	0.423357664233577	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
411	0.626494282757431	0.863157894736842	0.897810218978102	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis;t__	Bacteroides uniformis
4326	0.00844147460513507	0.863157894736842	0.700729927007299	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium] rectale;t__[Eubacterium rectale] ATCC 33656	t__[Eubacterium rectale] ATCC 33656
940	0.376747825002996	0.863157894736842	0.802919708029197	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
95	8.02739234457955e-05	0.863157894736842	0.613138686131387	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1660	0.0416504247980887	0.852631578947368	0.722627737226277	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] eligens;t__[Eubacterium] eligens ATCC 27750	t__[Eubacterium] eligens ATCC 27750
1725	0.0064537624631313	0.852631578947368	0.678832116788321	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium] rectale;t__[Eubacterium rectale] ATCC 33656	t__[Eubacterium rectale] ATCC 33656
1891	0.000166189664750425	0.852631578947368	0.613138686131387	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
2337	8.84025333712325e-08	0.852631578947368	0.496350364963504	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
283	1.26366595735535e-08	0.852631578947368	0.467153284671533	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
3963	0.388583747604294	0.852631578947368	0.795620437956204	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
4830	3.37682780241386e-07	0.852631578947368	0.518248175182482	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] hallii;t__	[Eubacterium] hallii
4880	3.28634123015331e-05	0.852631578947368	0.583941605839416	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium] rectale;t__[Eubacterium rectale] ATCC 33656	t__[Eubacterium rectale] ATCC 33656
503	0.186205838439565	0.852631578947368	0.766423357664234	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae;t__Parabacteroides merdae ATCC 43184	t__Parabacteroides merdae ATCC 43184
798	0.0576581488712398	0.852631578947368	0.72992700729927	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus faecis	Ruminococcus faecis
905	0.104789797434121	0.852631578947368	0.751824817518248	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	Clostridiales
1206	2.04467374050879e-07	0.842105263157895	0.496350364963504	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter petrolearius;t__	Terrisporobacter petrolearius
1402	0.323706804194745	0.842105263157895	0.773722627737226	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	Veillonella
1688	0.0331877622767663	0.842105263157895	0.708029197080292	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia;s__Senegalimassilia anaerobia;t__Senegalimassilia anaerobia JC110	t__Senegalimassilia anaerobia JC110
1939	1.18746630287135e-07	0.842105263157895	0.489051094890511	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1951	1.18746630287135e-07	0.842105263157895	0.489051094890511	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1984	7.01287712569183e-14	0.842105263157895	0.321167883211679	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
2325	3.67774676620775e-11	0.842105263157895	0.386861313868613	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
255	0.0823374250825699	0.842105263157895	0.72992700729927	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
3282	7.12546291177021e-11	0.842105263157895	0.394160583941606	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena;t__	Dorea longicatena
3760	4.37506478148718e-06	0.842105263157895	0.54014598540146	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena;t__	Dorea longicatena
4134	0.00735803025495906	0.842105263157895	0.671532846715328	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens;t__	Collinsella aerofaciens
4786	1.29329487788146e-05	0.842105263157895	0.554744525547445	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus rogosae;t__	Lactobacillus rogosae
773	0.659451184899734	0.842105263157895	0.868613138686131	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	Lachnoclostridium
918	0.684252292758961	0.842105263157895	0.81021897810219	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia obeum	Blautia obeum
